 condition   k delta qrpEnv censor tau
         1  10   0.0   none   none 0.0
         2  30   0.0   none   none 0.0
         3  60   0.0   none   none 0.0
         4 100   0.0   none   none 0.0
         5  10   0.2   none   none 0.0
         6  30   0.2   none   none 0.0
         7  60   0.2   none   none 0.0
         8 100   0.2   none   none 0.0
         9  10   0.5   none   none 0.0
        10  30   0.5   none   none 0.0
        11  60   0.5   none   none 0.0
        12 100   0.5   none   none 0.0
        13  10   0.8   none   none 0.0
        14  30   0.8   none   none 0.0
        15  60   0.8   none   none 0.0
        16 100   0.8   none   none 0.0
        17  10   0.0    med   none 0.0
        18  30   0.0    med   none 0.0
        19  60   0.0    med   none 0.0
        20 100   0.0    med   none 0.0
        21  10   0.2    med   none 0.0
        22  30   0.2    med   none 0.0
        23  60   0.2    med   none 0.0
        24 100   0.2    med   none 0.0
        25  10   0.5    med   none 0.0
        26  30   0.5    med   none 0.0
        27  60   0.5    med   none 0.0
        28 100   0.5    med   none 0.0
        29  10   0.8    med   none 0.0
        30  30   0.8    med   none 0.0
        31  60   0.8    med   none 0.0
        32 100   0.8    med   none 0.0
        33  10   0.0   high   none 0.0
        34  30   0.0   high   none 0.0
        35  60   0.0   high   none 0.0
        36 100   0.0   high   none 0.0
        37  10   0.2   high   none 0.0
        38  30   0.2   high   none 0.0
        39  60   0.2   high   none 0.0
        40 100   0.2   high   none 0.0
        41  10   0.5   high   none 0.0
        42  30   0.5   high   none 0.0
        43  60   0.5   high   none 0.0
        44 100   0.5   high   none 0.0
        45  10   0.8   high   none 0.0
        46  30   0.8   high   none 0.0
        47  60   0.8   high   none 0.0
        48 100   0.8   high   none 0.0
        49  10   0.0   none    med 0.0
        50  30   0.0   none    med 0.0
        51  60   0.0   none    med 0.0
        52 100   0.0   none    med 0.0
        53  10   0.2   none    med 0.0
        54  30   0.2   none    med 0.0
        55  60   0.2   none    med 0.0
        56 100   0.2   none    med 0.0
        57  10   0.5   none    med 0.0
        58  30   0.5   none    med 0.0
        59  60   0.5   none    med 0.0
        60 100   0.5   none    med 0.0
        61  10   0.8   none    med 0.0
        62  30   0.8   none    med 0.0
        63  60   0.8   none    med 0.0
        64 100   0.8   none    med 0.0
        65  10   0.0    med    med 0.0
        66  30   0.0    med    med 0.0
        67  60   0.0    med    med 0.0
        68 100   0.0    med    med 0.0
        69  10   0.2    med    med 0.0
        70  30   0.2    med    med 0.0
        71  60   0.2    med    med 0.0
        72 100   0.2    med    med 0.0
        73  10   0.5    med    med 0.0
        74  30   0.5    med    med 0.0
        75  60   0.5    med    med 0.0
        76 100   0.5    med    med 0.0
        77  10   0.8    med    med 0.0
        78  30   0.8    med    med 0.0
        79  60   0.8    med    med 0.0
        80 100   0.8    med    med 0.0
        81  10   0.0   high    med 0.0
        82  30   0.0   high    med 0.0
        83  60   0.0   high    med 0.0
        84 100   0.0   high    med 0.0
        85  10   0.2   high    med 0.0
        86  30   0.2   high    med 0.0
        87  60   0.2   high    med 0.0
        88 100   0.2   high    med 0.0
        89  10   0.5   high    med 0.0
        90  30   0.5   high    med 0.0
        91  60   0.5   high    med 0.0
        92 100   0.5   high    med 0.0
        93  10   0.8   high    med 0.0
        94  30   0.8   high    med 0.0
        95  60   0.8   high    med 0.0
        96 100   0.8   high    med 0.0
        97  10   0.0   none   high 0.0
        98  30   0.0   none   high 0.0
        99  60   0.0   none   high 0.0
       100 100   0.0   none   high 0.0
       101  10   0.2   none   high 0.0
       102  30   0.2   none   high 0.0
       103  60   0.2   none   high 0.0
       104 100   0.2   none   high 0.0
       105  10   0.5   none   high 0.0
       106  30   0.5   none   high 0.0
       107  60   0.5   none   high 0.0
       108 100   0.5   none   high 0.0
       109  10   0.8   none   high 0.0
       110  30   0.8   none   high 0.0
       111  60   0.8   none   high 0.0
       112 100   0.8   none   high 0.0
       113  10   0.0    med   high 0.0
       114  30   0.0    med   high 0.0
       115  60   0.0    med   high 0.0
       116 100   0.0    med   high 0.0
       117  10   0.2    med   high 0.0
       118  30   0.2    med   high 0.0
       119  60   0.2    med   high 0.0
       120 100   0.2    med   high 0.0
       121  10   0.5    med   high 0.0
       122  30   0.5    med   high 0.0
