condition,k,k.label,delta,delta.label,qrpEnv,qrp.label,censor,censor.label,tau,tau.label,method,meanEst,meanEst.pos,ME,RMSE,ME.pos,RMSE.pos,MAD,perc2.5,perc97.5,perc2.5.pos,perc97.5.pos,coverage,coverage.pos,n.ci,consisZero.rate,consisZero.rate.pos,H0.reject.rate,H0.reject.pos.rate,H0.reject.wrongSign.rate,n.p.values,n.validEstimates
1,10,k = 10,0,delta = 0,none,QRP = none,0,censor = 0,0,tau = 0,1PSM,0.130465884842158,0.130465884842158,0.130465884842158,0.270041073098961,0.130465884842158,0.270041073098961,0.130465884842158,4.10225926326142e-05,0.758551881614997,4.10225926326142e-05,0.758551881614997,0.936936936936937,0.936936936936937,222,0.936936936936937,0.936936936936937,0.0630630630630631,0.0630630630630631,0,222,222
1,10,k = 10,0,delta = 0,none,QRP = none,0,censor = 0,0,tau = 0,3PSM,0.0284283861689784,0.0488232664489679,0.0284283861689784,0.104887963593521,0.0488232664489679,0.0963635968959596,0.0692181467289574,-0.125556678093335,0.232409613932998,0,0.232409613932998,0.929203539823009,0.907692307692308,226,0.929203539823009,0.946902654867257,0.0530973451327434,0.0530973451327434,0,226,226
1,10,k = 10,0,delta = 0,none,QRP = none,0,censor = 0,0,tau = 0,4PSM,0.0303298247748028,0.0657548228222419,0.0303298247748028,0.153701192818038,0.0657548228222419,0.137045251988748,0.101179820869681,-0.209919974720006,0.365138512285902,0,0.365138512285902,0.915555555555556,0.896825396825397,225,0.915555555555556,0.942222222222222,0.0577777777777778,0.0577777777777778,0,225,225
1,10,k = 10,0,delta = 0,none,QRP = none,0,censor = 0,0,tau = 0,pcurve,,,,,,,,,,,,,,0,,,,,,0,0
1,10,k = 10,0,delta = 0,none,QRP = none,0,censor = 0,0,tau = 0,pcurve.evidence,,,,,,,,,,,,,,0,,,,,,0,0
1,10,k = 10,0,delta = 0,none,QRP = none,0,censor = 0,0,tau = 0,pcurve.hack,,,,,,,,,,,,,,0,,,,,,0,0
1,10,k = 10,0,delta = 0,none,QRP = none,0,censor = 0,0,tau = 0,pcurve.lack,,,,,,,,,,,,,,0,,,,,,0,0
1,10,k = 10,0,delta = 0,none,QRP = none,0,censor = 0,0,tau = 0,PEESE.lm,-0.0019068940563969,0.0473091754041556,-0.0019068940563969,0.125858618215713,0.0473091754041556,0.0904891361259397,0.096525244864708,-0.23648523294945,0.254298933699175,0,0.254298933699175,0.941,0.934,1000,0.941,0.967,0.059,0.033,0.026,1000,1000
1,10,k = 10,0,delta = 0,none,QRP = none,0,censor = 0,0,tau = 0,PEESE.rma,-0.00152758155839759,0.0484442846681266,-0.00152758155839759,0.127549858315341,0.0484442846681266,0.0917550135496216,0.0984161508946507,-0.23648523294945,0.261937373821114,0,0.261937373821114,0.96,0.950298210735587,1000,0.96,0.975,0.04,0.025,0.015,1000,1000
1,10,k = 10,0,delta = 0,none,QRP = none,0,censor = 0,0,tau = 0,PET.lm,-0.00543064458411003,0.0880759195972472,-0.00543064458411003,0.243217483879328,0.0880759195972472,0.17407012873053,0.181582483778604,-0.485437287372426,0.494206177676262,0,0.494206177676262,0.945,0.934020618556701,1000,0.945,0.968,0.055,0.032,0.023,1000,1000
1,10,k = 10,0,delta = 0,none,QRP = none,0,censor = 0,0,tau = 0,PET.rma,-0.00513482301684988,0.0897385642566373,-0.00513482301684988,0.246297635974314,0.0897385642566373,0.176400871697134,0.184611951530124,-0.475165648629497,0.478915370994611,0,0.478915370994611,0.962,0.954545454545455,1000,0.962,0.978,0.038,0.022,0.016,1000,1000
1,10,k = 10,0,delta = 0,none,QRP = none,0,censor = 0,0,tau = 0,PETPEESE.lm,-0.0137027166864409,0.0798038474949163,-0.0137027166864409,0.226017053246352,0.0798038474949163,0.149095183053767,0.173310411676274,-0.485437287372426,0.424010229629268,0,0.424010229629268,0.955,0.954639175257732,1000,0.955,0.978,0.045,0.022,0.023,1000,1000
1,10,k = 10,0,delta = 0,none,QRP = none,0,censor = 0,0,tau = 0,PETPEESE.rma,-0.0115225870994819,0.0833508001740053,-0.0115225870994819,0.231957373840949,0.0833508001740053,0.155752898297793,0.178224187447492,-0.475165648629497,0.433751548925372,0,0.433751548925372,0.965,0.960743801652893,1000,0.965,0.981,0.035,0.019,0.016,1000,1000
1,10,k = 10,0,delta = 0,none,QRP = none,0,censor = 0,0,tau = 0,puniform,0.367040596025675,0.367040596025675,0.367040596025675,0.442948867116374,0.367040596025675,0.442948867116374,0.367040596025675,0.0501408727469773,0.940937013736486,0.0501408727469773,0.940937013736486,0.950980392156863,0.950980392156863,102,0.950980392156863,0.950980392156863,,0.00980392156862745,,102,102
1,10,k = 10,0,delta = 0,none,QRP = none,0,censor = 0,0,tau = 0,reMA,0.00178755850415321,0.0274589552248436,0.00178755850415321,0.0669424568167091,0.0274589552248436,0.0491232607742695,0.053130351945534,-0.128495248349404,0.131415309221276,0,0.131415309221276,0.951,0.94541910331384,1000,0.951,0.972,0.049,0.028,0.021,1000,1000
1,10,k = 10,0,delta = 0,none,QRP = none,0,censor = 0,0,tau = 0,TF,-0.0132919190345792,0.0213068252254274,-0.0132919190345792,0.0703458110858064,0.0213068252254274,0.0415476497482656,0.0559055694854339,-0.150874547930213,0.121417659470608,0,0.121417659470608,0.934738955823293,0.955399061032864,996,0.934738955823293,0.980923694779116,0.0652610441767068,0.0190763052208835,0.0461847389558233,996,996
1,10,k = 10,0,delta = 0,none,QRP = none,0,censor = 0,0,tau = 0,WAAP-WLS,0.00139193353790609,0.0265495649205587,0.00139193353790609,0.0653910578263513,0.0265495649205587,0.047746398642962,0.0517071963032114,-0.12383238218469,0.130334948093306,0,0.130334948093306,0.935,0.938735177865613,1000,0.935,0.969,0.065,0.031,0.034,1000,1000
2,30,k = 30,0,delta = 0,none,QRP = none,0,censor = 0,0,tau = 0,1PSM,0.120970441846754,0.120970441846754,0.120970441846754,0.242345715046352,0.120970441846754,0.242345715046352,0.120970441846754,4.13673840481555e-05,0.692608914969507,4.13673840481555e-05,0.692608914969507,0.965384615384615,0.965384615384615,520,0.965384615384615,0.965384615384615,0.0346153846153846,0.0346153846153846,0,520,520
2,30,k = 30,0,delta = 0,none,QRP = none,0,censor = 0,0,tau = 0,3PSM,0.00399427618947818,0.0182459809545906,0.00399427618947818,0.041486489779641,0.0182459809545906,0.032177735073148,0.0324976857197029,-0.0741878677655824,0.0894903305398656,0,0.0894903305398656,0.952651515151515,0.949640287769784,528,0.952651515151515,0.973484848484848,0.0265151515151515,0.0265151515151515,0,528,528
2,30,k = 30,0,delta = 0,none,QRP = none,0,censor = 0,0,tau = 0,4PSM,0.00310205435392029,0.0268318935252009,0.00310205435392029,0.0652636399689665,0.0268318935252009,0.0503494221470939,0.0505617326964815,-0.114845696293159,0.139105291202295,0,0.139105291202295,0.945075757575758,0.938461538461539,528,0.945075757575758,0.96969696969697,0.0303030303030303,0.0303030303030303,0,528,528
2,30,k = 30,0,delta = 0,none,QRP = none,0,censor = 0,0,tau = 0,pcurve,0.171907692344899,0.171907692344899,0.171907692344899,0.225527244549871,0.171907692344899,0.225527244549871,0.171907692344899,0.00799974421923966,0.347006888967481,0.00799974421923966,0.347006888967481,,,0,,,,,,0,3
2,30,k = 30,0,delta = 0,none,QRP = none,0,censor = 0,0,tau = 0,pcurve.evidence,,,,,,,,,,,,,,0,,,,0,,3,0
2,30,k = 30,0,delta = 0,none,QRP = none,0,censor = 0,0,tau = 0,pcurve.hack,,,,,,,,,,,,,,0,,,,0.333333333333333,,3,0
2,30,k = 30,0,delta = 0,none,QRP = none,0,censor = 0,0,tau = 0,pcurve.lack,,,,,,,,,,,,,,0,,,,0.333333333333333,,3,0
2,30,k = 30,0,delta = 0,none,QRP = none,0,censor = 0,0,tau = 0,PEESE.lm,-0.000807542588289013,0.0236962218083128,-0.000807542588289013,0.0622279580730917,0.0236962218083128,0.043893294274415,0.0481999862049146,-0.120334347783683,0.122708896920838,0,0.122708896920838,0.944,0.948,1000,0.944,0.974,0.056,0.026,0.03,1000,1000
