"domain"	"first year in series"	"last year in series"	"predictor"	"k"	"intc-adjusted"	"b-adjusted"	"se-adjusted"	"t-adjusted"	"significance-adjusted"	"intc-notadjusted"	"b-notadjusted"	"se-notadjusted"	"t-notadjusted"	"significance-notadjusted"	"intc-standardized"	"b-standardized"	"se-standardized"	"t-standardized"	"significance-standardized"	"intc-notcoined"	"b-notcoined"	"se-notcoined"	"t-notcoined"	"significance-notcoined"	"intc-1.11coined"	"b-1.11coined"	"se-1.11coined"	"t-1.11coined"	"significance-1.11coined"
"P"	1992	2013	"small-study(+)"	20	-18.6842802535089	0.00935847544373037	0.0531853807848408	0.175959545755434	""	-18.6842802535089	0.00935847544373037	0.0531853807848408	0.175959545755434	""	-545.339902374809	0.272326508340123	0.162606352519623	1.67475934439437	"+"	53.3349801382697	-0.0268762761931647	0.0437048534436553	-0.614949463857917	""	34.2769060309055	-0.0171566614041899	0.0494878472588327	-0.346684334730842	""
"B"	1989	2013	"small-study(+)"	1254	-40.4862591247864	0.0205151880478598	0.0152789676688705	1.34270773343265	""	-40.4862591247864	0.0205151880478598	0.0152789676688705	1.34270773343265	""	-66.5542745588483	0.0335225131255219	0.0148953938004814	2.25052882619582	"*"	-18.2242332543863	0.00918917496475308	0.0158269911719083	0.580601509468407	""	-12.4199208636519	0.00643515273929253	0.0155315187720481	0.414328619997794	""
"S"	1984	2013	"small-study(+)"	636	-55.0786939344774	0.0278884557882934	0.0144037892601601	1.93618882396669	"+"	-55.0786939344774	0.0278884557882934	0.0144037892601601	1.93618882396669	"+"	108.983099811017	-0.0540218020476397	0.0364800072734128	-1.48086050648931	""	-10.8321181430907	0.00568553520750437	0.0145444175851843	0.390908413774915	""	-52.8665158541503	0.0267299858166061	0.0144198023618103	1.85369987368193	"+"
"P"	1992	2013	"grey literature(-)"	10	-24.6612410615795	0.0122112083594149	0.0221065208047446	0.552380379855798	""	-42.925915347481	0.0213797470402712	0.0184016478269699	1.16183872451555	""	-24.6612410615795	0.0122112083594149	0.0221065208047446	0.552380379855798	""	36.9590180054659	-0.0185933688775114	0.021313520823592	-0.872374350132256	""	36.9590180054659	-0.0185933688775114	0.021313520823592	-0.872374350132256	""
"B"	1989	2013	"grey literature(-)"	140	14.3537929417586	-0.00718025920364215	0.00740365655681137	-0.969826078309414	""	8.10364228012247	-0.00406980713397878	0.0077569371687304	-0.524666765432225	""	14.3537929417586	-0.00718025920364215	0.00740365655681137	-0.969826078309414	""	-31.5248891587688	0.0157238842946401	0.00744565540482081	2.11182003997384	"*"	-17.4067797112068	0.00869745073501247	0.0073988512170426	1.17551366825416	""
"S"	1985	2013	"grey literature(-)"	295	10.8636289806508	-0.00544069069629235	0.00432440549206839	-1.2581361082515	""	4.65113367992116	-0.0023434376943791	0.00435597725723843	-0.537982077497066	""	10.8636289806508	-0.00544069069629235	0.00432440549206839	-1.2581361082515	""	15.0037788491431	-0.00750320109368653	0.0043204756931334	-1.73666087408187	"+"	16.630495206369	-0.00832120650269028	0.00432062680843061	-1.92592576763481	"+"
"P"	1992	2013	"year in m-a(-)"	19	4.5094886422613	-0.00225627835418887	0.00177502896665534	-1.27112199100634	""	3.60471522249962	-0.00180673264176953	0.00163960682564153	-1.10193042229049	""	0.701842750540196	-0.00032601623804308	0.002783033310186	-0.117144209826684	""	-0.77662665957421	0.000386488752879477	0.00177326844486675	0.217952760620245	""	0.210193566711603	-0.000110189924050865	0.00177349471667069	-0.0621315208977449	""
"B"	1989	2013	"year in m-a(-)"	1252	-0.814596333888119	0.00040630247012462	0.000381977767786521	1.06368093745103	""	-0.572077717425177	0.000283075874080566	0.000373234082492446	0.758440580212273	""	-5.5567341548145	0.00276039946796874	0.0011754878723489	2.34830110365393	"*"	-0.6820471677588	0.000338846761948577	0.000381377793577334	0.888480576622423	""	-0.212601940261492	0.000106241053234583	0.000381525567041912	0.27846378437572	""
"S"	1984	2013	"year in m-a(-)"	633	1.06163642885089	-0.000531197664448402	0.000223279313960482	-2.3790724497766	"*"	1.14282119998983	-0.000573817126545457	0.00022535162023102	-2.54631906332516	"*"	6.72379277454728	-0.00335675040643023	0.000887612518627272	-3.78177451983393	"***"	-0.0796734695800983	3.71928722244937e-05	0.00021898875081762	0.169839190760392	""	0.450108810672763	-0.000227110693118745	0.000219445551792804	-1.03492958168129	""
"P"	1992	2013	"year in m-a, abs.(-)"	19	1.02616119842942	-0.000510275070007176	0.000627014394076257	-0.813817154483246	""	0.804765405074189	-0.000400791326403128	0.000461892136327482	-0.867716280233372	""	9.7765697847348	-0.00487464938920938	0.00206505921789062	-2.36053733809564	"*"	1.02616119842942	-0.000510275070007176	0.000627014394076257	-0.813817154483246	""	1.02616119842942	-0.000510275070007176	0.000627014394076257	-0.813817154483246	""
"B"	1989	2013	"year in m-a, abs.(-)"	1252	0.431120937131656	-0.00021277899586644	0.000346199234680844	-0.614614287240114	""	0.459239598123577	-0.000229414932412843	0.000340921211545048	-0.672926543271213	""	-2.13953194622084	0.00106357195527475	0.000882332846740829	1.20540900092678	""	0.431120937131656	-0.00021277899586644	0.000346199234680844	-0.614614287240114	""	0.431120937131656	-0.00021277899586644	0.000346199234680844	-0.614614287240114	""
"S"	1984	2013	"year in m-a, abs.(-)"	633	-0.554861543237451	0.00027573403771663	0.000153888214881357	1.79178137799059	"+"	-0.540718756354006	0.000267655370508022	0.000150895764399656	1.77377656405995	"+"	1.08553790599357	-0.000541445976599996	0.000445958610656071	-1.21411710338645	""	-0.554861543237451	0.00027573403771663	0.000153888214881357	1.79178137799059	"+"	-0.554861543237451	0.00027573403771663	0.000153888214881357	1.79178137799059	"+"
