"","x"
"1",226
"2",101
"3",75
"4",74
"5",60
"6",52
"7",79
"8",58
"9",35
"10",11
"11",23
"12",40
"13",16
"14",57
"15",30
"16",201
"17",85
"18",50
"19",54
"20",56
"21",70
"22",40
"23",36
"24",19
"25",21
"26",13
"27",115
"28",81
"29",77
"30",66
"31",33
"32",43
"33",60
"34",275
"35",34
"36",64
"37",61
"38",30
"39",19
"40",41
"41",44
"42",17
"43",15
"44",44
"45",32
"46",13
"47",15
"48",40
"49",44
"50",21
"51",18
"52",65
"53",18
"54",23
"55",24
"56",21
"57",30
"58",62
"59",32
"60",22
"61",17
"62",21
"63",24
"64",26
"65",21
"66",26
"67",73
"68",37
"69",77
"70",21
"71",20
"72",52
"73",35
"74",18
"75",42
"76",58
"77",49
"78",83
"79",73
"80",73
"81",18
"82",46
"83",31
"84",40
"85",46
"86",39
"87",44
"88",39
"89",61
"90",35
"91",19
"92",59
"93",30
"94",34
"95",12
"96",17
"97",26
"98",53
"99",43
"100",56
"101",180
"102",40
"103",87
"104",151
"105",87
"106",151
"107",88
"108",20
"109",35
"110",15
"111",36
"112",46
"113",66
"114",66
"115",44
"116",51
"117",10
"118",14
"119",58
"120",35
"121",53
"122",26
"123",28
"124",38
"125",16
"126",33
"127",48
"128",45
"129",56
"130",56
"131",108
"132",128
"133",20
"134",43
"135",48
"136",35
"137",22
"138",52
"139",48
"140",48
"141",67
"142",54
"143",17
"144",18
"145",38
"146",51
"147",94
"148",97
"149",87
"150",111
"151",370
"152",66
"153",134
"154",13
"155",24
"156",24
"157",43
"158",12
"159",12
"160",146
"161",15
"162",37
"163",20
"164",126
"165",78
"166",45
"167",55
"168",61
"169",34
"170",39
"171",26
"172",124
"173",32
"174",39
"175",38
"176",50
"177",33
"178",43
"179",24
"180",33
"181",25
"182",44
"183",11
"184",10
"185",11
"186",18
"187",25
"188",23
"189",184
"190",372
"191",51
"192",89
"193",36
"194",51
"195",41
"196",79
"197",64
"198",61
"199",37
"200",47
"201",57
"202",18
"203",15
"204",29
"205",56
"206",123
"207",30
"208",35
"209",22
"210",31
"211",16
"212",67
"213",63
"214",89
"215",59
"216",15
"217",27
"218",50
"219",39
"220",35
"221",134
"222",23
"223",20
"224",29
"225",29
"226",50
"227",61
"228",101
"229",106
"230",65
"231",14
"232",36
"233",58
"234",37
"235",23
"236",45
"237",56
"238",29
"239",34
"240",32
"241",19
"242",18
"243",37
"244",19
"245",236
"246",49
"247",48
"248",41
"249",42
"250",39
"251",30
"252",42
"253",148
"254",45
"255",11
"256",24
"257",80
"258",143
"259",54
"260",50
"261",67
"262",59
"263",37
"264",92
"265",97
"266",46
"267",38
"268",50
"269",30
"270",68
"271",53
"272",29
"273",162
"274",68
"275",174
"276",62
"277",12
"278",18
"279",116
"280",74
"281",66
"282",35
"283",45
"284",41
"285",20
"286",15
"287",46
"288",86
"289",65
"290",80
"291",124
"292",49
"293",44
"294",63
"295",274
"296",164
"297",66
"298",33
"299",135
"300",27
"301",30
"302",29
"303",36
"304",72
"305",74
"306",47
"307",41
"308",52
"309",48
"310",18
"311",50
"312",58
"313",48
"314",47
"315",15
"316",32
"317",18
"318",36
"319",35
"320",19
"321",29
"322",34
"323",15
"324",51
"325",94
"326",36
"327",37
"328",52
"329",13
"330",16
"331",50
"332",93
"333",49
"334",23
"335",29
"336",20
"337",20
"338",42
"339",66
"340",53
"341",56
"342",46
"343",159
"344",158
"345",51
"346",25
"347",43
"348",72
"349",30
"350",12
"351",20
"352",53
"353",10
"354",24
"355",30
"356",24
"357",64
"358",47
"359",68
"360",39
"361",29
"362",28
"363",19
"364",14
"365",29
"366",61
"367",46
