"","condition","k","k.label","delta","delta.label","qrpEnv","qrp.label","selProp","selProp.label","tau","tau.label","method","meanEst","ME","RMSE","MAD","perc2.5","perc97.5","coverage","consisZero"
"1",193,10,"k = 10",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","reMA",0.192512327895629,0.192512327895629,0.199066709567743,0.192512327895629,0.0911615721229765,0.290714464962374,0.23,0.23
"2",193,10,"k = 10",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","TF",0.175199886123656,0.175199886123656,0.1840126931456,0.175266651849083,0.0689006276739839,0.289846072716776,0.321,0.321
"3",193,10,"k = 10",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PET.lm",-0.0441194462266267,-0.0441194462266267,1.11653408284588,0.804931529653714,-2.58290036340725,2.01080023007155,0.947,0.947
"4",193,10,"k = 10",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PEESE.lm",0.0693804001216024,0.0693804001216024,0.57190436858486,0.427169771627228,-1.22403742571488,1.13649826370654,0.944,0.944
"5",193,10,"k = 10",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PETPEESE.lm",-0.00740897367963292,-0.00740897367963292,1.00267918896373,0.746304160682905,-2.19772460407665,1.94137632029934,0.96,0.96
"6",193,10,"k = 10",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","pcurve.evidence",NA,NA,NA,NA,NA,NA,NA,NA
"7",193,10,"k = 10",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","pcurve.lack",NA,NA,NA,NA,NA,NA,NA,NA
"8",193,10,"k = 10",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","pcurve",0.252331649187645,0.252331649187645,0.271412131465256,0.259386397435022,0.0566536745807408,0.394266961424934,NA,NA
"9",193,10,"k = 10",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","puniform",0.256924691213965,0.256924691213965,0.269103667787276,0.258104399757038,0.0763116263381578,0.394074047530946,0.219,0.219
"10",193,10,"k = 10",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","topN.fixed",0.192512327895629,0.192512327895629,0.199066709567743,0.192512327895629,0.0911615721229765,0.290714464962374,0.23,0.23
"11",193,10,"k = 10",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","3PSM",0.0148382884614916,0.0148382884614916,0.127951558233931,0.102939494309738,-0.253724343194295,0.242272048063461,NA,NA
"12",194,30,"k = 30",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","reMA",0.192245630943757,0.192245630943757,0.194649082317925,0.192245630943757,0.137396344782944,0.252395381626161,0.001,0.001
"13",194,30,"k = 30",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","TF",0.166095032685254,0.166095032685254,0.17050171040047,0.166095032685254,0.0939130231885242,0.246311711025992,0.022,0.022
"14",194,30,"k = 30",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PET.lm",0.084449230656634,0.084449230656634,0.522174370291056,0.412449510030361,-0.984585697278347,1.02112155871998,0.927,0.927
"15",194,30,"k = 30",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PEESE.lm",0.13334936149893,0.13334936149893,0.301234489961137,0.244988733774637,-0.417640600834468,0.62556980368414,0.888,0.888
"16",194,30,"k = 30",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PETPEESE.lm",0.0858983441926055,0.0858983441926055,0.461493396436877,0.379440050605093,-0.871760005011245,0.903692160970223,0.944,0.944
