"condition","k","k.label","delta","delta.label","qrpEnv","qrp.label","selProp","selProp.label","tau","tau.label","method","meanEst","meanEst.pos","ME","RMSE","ME.pos","RMSE.pos","MAD","perc2.5","perc97.5","perc2.5.pos","perc97.5.pos","coverage","consisZero","n.ci","coverage.pos","consisZero.pos"
1,10,"k = 10",0,"delta = 0","none","QRP = none",0,"selProp = 0",0,"tau = 0","reMA",-0.000305144910148848,0.0255400866219294,-0.000305144910148848,0.0637807559578733,0.0255400866219294,0.0445099595460771,0.0513853181540076,-0.130168158864337,0.120017613611451,0,0.120017613611451,0.966,0.966,1000,0.967676767676768,0.967676767676768
1,10,"k = 10",0,"delta = 0","none","QRP = none",0,"selProp = 0",0,"tau = 0","TF",0.00038140274042653,0.0288594777397575,0.00038140274042653,0.0724093007862331,0.0288594777397575,0.0511289573407039,0.0573375527390884,-0.145210910215728,0.146284039661126,0,0.146284039661126,0.936,0.936,1000,0.937875751503006,0.937875751503006
1,10,"k = 10",0,"delta = 0","none","QRP = none",0,"selProp = 0",0,"tau = 0","PET.lm",0.00158632774491912,0.092522741259121,0.00158632774491912,0.241011015527574,0.092522741259121,0.166258193572302,0.183459154773323,-0.506724272455091,0.466823395344209,0,0.466823395344209,0.949,0.949,1000,0.941176470588235,0.941176470588235
1,10,"k = 10",0,"delta = 0","none","QRP = none",0,"selProp = 0",0,"tau = 0","PEESE.lm",0.000457591232173818,0.047886718154394,0.000457591232173818,0.12505975619513,0.047886718154394,0.0864505618318958,0.0953158450766141,-0.245346320027084,0.245323882135881,0,0.245323882135881,0.948,0.948,1000,0.940239043824701,0.940239043824701
1,10,"k = 10",0,"delta = 0","none","QRP = none",0,"selProp = 0",0,"tau = 0","PET.rma",0.00212048988458691,0.0946943767688136,0.00212048988458691,0.245451395384739,0.0946943767688136,0.169317428918176,0.18726826365304,-0.507644624898288,0.46495110879252,0,0.46495110879252,0.964,0.964,1000,0.962962962962963,0.962962962962963
1,10,"k = 10",0,"delta = 0","none","QRP = none",0,"selProp = 0",0,"tau = 0","PEESE.rma",0.00103559594206188,0.0489720159760603,0.00103559594206188,0.126974661729928,0.0489720159760603,0.0880057061790683,0.0969084360100587,-0.25972991005788,0.255012340864927,0,0.255012340864927,0.963,0.963,1000,0.962890625,0.962890625
1,10,"k = 10",0,"delta = 0","none","QRP = none",0,"selProp = 0",0,"tau = 0","PETPEESE.lm",0.00130988434413514,0.0859240693877044,0.00130988434413514,0.21613980983557,0.0859240693877044,0.151326121040067,0.170538254431274,-0.419112118523815,0.408174874507889,0,0.408174874507889,0.965,0.965,1000,0.964705882352941,0.964705882352941
1,10,"k = 10",0,"delta = 0","none","QRP = none",0,"selProp = 0",0,"tau = 0","PETPEESE.rma",0.00276298416164199,0.0898695761225776,0.00276298416164199,0.224526746776809,0.0898695761225776,0.156989344247529,0.176976168083513,-0.469704965024658,0.421942985703929,0,0.421942985703929,0.974,0.974,1000,0.974658869395711,0.974658869395711
1,10,"k = 10",0,"delta = 0","none","QRP = none",0,"selProp = 0",0,"tau = 0","pcurve.evidence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
1,10,"k = 10",0,"delta = 0","none","QRP = none",0,"selProp = 0",0,"tau = 0","pcurve.hack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
