"delta","qrpEnv","censor","tau","3PSM_10","3PSM_100","3PSM_30","3PSM_60","4PSM_10","4PSM_100","4PSM_30","4PSM_60","pcurve_10","pcurve_100","pcurve_30","pcurve_60","PEESE_10","PEESE_100","PEESE_30","PEESE_60","PET_10","PET_100","PET_30","PET_60","PETPEESE_10","PETPEESE_100","PETPEESE_30","PETPEESE_60","puniform_10","puniform_100","puniform_30","puniform_60","reMA_10","reMA_100","reMA_30","reMA_60","TF_10","TF_100","TF_30","TF_60","WAAP-WLS_10","WAAP-WLS_100","WAAP-WLS_30","WAAP-WLS_60"
0,"none","none",0,0.0269144712189071,0.00131016827290278,0.0052539111700945,0.00446152957186986,0.0114573313762592,0.0021586440179128,0.0102863594119108,0.00460134722666686,0.315670577025288,0.18779175835959,0.255360537837589,0.206533601999228,-0.00427815580133122,-6.33236227742436e-05,0.000475528635754553,0.000734621645460043,-0.00548501231049879,-0.000222281420649969,-0.000176095985555009,0.000364624249069643,-0.0117734208907214,-0.00145167121443665,-0.00288150497253566,-0.00107782721890879,0.304793724060728,0.181729086068743,0.247661253064654,0.201135208754732,-0.0027626866933753,8.70802628572175e-05,0.000451149537269716,0.000797692560334282,-0.0170083162978514,-0.00356329676020373,-0.00695611352224073,-0.00423300453370658,-0.00325030092307929,0.000104832400984489,0.000278748522719402,0.000846401057452139
0.2,"none","none",0,0.0331809794705575,-3.52937183750935e-05,0.000231060686631455,-0.00020041980812853,0.0196594754556208,-0.00340540302041045,-0.00553281379779841,-0.00180743294256264,0.0215646911965884,-0.00419263992162601,0.00087708087742794,-0.00625971294023347,-0.00369624939186679,-0.0029970595146891,-0.00545837367496932,-0.00277770121937803,-0.00900444125417836,-0.00397176059050011,-0.00809317530048686,-0.00361038131426505,-0.0277848663509467,-0.00304294478018194,-0.0121100929998948,-0.00381865139454584,0.0187227753043954,-0.00365466747736446,8.16739864379648e-05,-0.00471176654921321,0.00260101644966426,-0.000460089228111199,-0.0016102183516141,-0.0013056819539046,-0.0106197900268271,-0.00493572314824367,-0.0102505807124988,-0.00702146552162447,0.00208206116425872,-0.000238176342675739,-0.0018131234364442,-0.00223425809294162
0.5,"none","none",0,-0.00456303054513627,-0.00316073350207268,-0.00576524744075015,-0.00263988015148589,-0.0151652856233325,-0.00417136861444252,-0.00665088402419705,-0.00322842495581339,-0.0207907578982266,-0.000268458220159749,-0.0050862272991863,-0.000421880947049016,-0.00960996731961485,-0.00629906689587114,-0.010014265233581,-0.0056046335293343,-0.0195618946643264,-0.00763986414602625,-0.0136949270907487,-0.0064150270222937,-0.0292166830997977,-0.00629906689587114,-0.0101480201465279,-0.0056046335293343,-0.0241095172505842,-0.00328161257980788,-0.00855788437598283,-0.00342690101967889,0.0008010553631762,-0.00141818240148868,-0.00288291823225504,-0.000861321571901783,-0.0144350080585007,-0.00657799174703493,-0.0121077268251812,-0.00736749054943053,-0.0022227154200343,-0.00185700278713593,-0.00361739960660074,-0.000441942386548818
0.8,"none","none",0,-0.0100055666657861,-0.00442288184590609,-0.00478926723586071,-0.00250345656896296,-0.0129187015905118,-0.00479230536970394,-0.0051207552669298,-0.00292030891483737,-0.00821717802198164,-8.57072933844611e-05,-0.000670756672678537,0.00107558137549489,-0.0150569898318081,-0.00976015503815832,-0.0101434502850977,-0.00745453889868055,-0.0241942140881026,-0.0122489932197946,-0.0145490803353588,-0.00947660584835792,-0.0270105423317908,-0.00976015503815832,-0.0101434502850977,-0.00745453889868055,-0.0152056548459046,-0.00690123004407495,-0.00738671100935337,-0.00550938672369394,-0.00306665164845391,-0.00115552629846361,-0.000701762168839629,1.59758343745374e-05,-0.0198772217419283,-0.00715145325852862,-0.0108035535629212,-0.00639805641527317,-0.00546362802156233,-0.0033475191839463,-0.00288456847636604,-0.00188455943913293
0,"none","none",0.2,0.0274926739640768,0.00131134943430588,0.0050178878352942,0.00254575833403717,0.0124848565486641,0.00161335171506414,0.0136098104925115,0.007398366965807,0.302092967099945,0.247856203436993,0.273441320615407,0.252499495747347,0.00433103197441787,0.00024006750583334,0.0056139718425665,0.00380855716610423,0.0114342386863345,-0.000614313803938551,0.00614841102238104,0.00576223115333581,-0.00702227956238414,-0.0105302473018766,-0.00876691843258644,-0.00644738314872251,0.292248710260291,0.243716482652502,0.270015111922211,0.250281129465216,-0.00172675136819922,0.00130630269631415,0.00331508218910091,0.00151195937792696,-0.0232836997487428,-0.0115360113511383,-0.0119221646001675,-0.0121788648909022,0.00199263852850123,0.00118028519202271,0.00586939792664173,0.00317431751680227
0.2,"none","none",0.2,0.00808622355633177,-0.00208959961714617,0.0017674306878858,-0.00116897389271785,-0.103167392327996,-0.00270142312177265,0.00301518287284666,-0.00653115429749613,0.162597996149314,0.149728591961573,0.153697026487003,0.146081953406632,-0.0085248568746168,-0.00438641490660944,-0.00176375685999366,-0.00859804603803016,-0.00976371594413163,-0.00507042062866633,-0.00235250043645081,-0.0127267938413678,-0.0398912454021618,-0.0116660561224138,-0.0231406067121232,-0.0236759445722264,0.157685290117614,0.147526960931231,0.151142988389645,0.145377369980961,-0.00309813333049308,-0.00123529544365219,0.000792577220804135,-0.000299589726338598,-0.026112469351816,-0.0160622886156503,-0.0173262690946467,-0.0178217542774969,-0.00254555959568627,0.0116797573143501,0.010080517662355,0.00735343147888461
0.5,"none","none",0.2,-0.0112502557734652,-0.00735840936104279,-0.0115791755030784,-0.00969576365319884,-0.0337659148413378,-0.0135855494480309,-0.021294070075193,-0.0160939289357321,0.0628872800040711,0.0622216615993883,0.0618364431044555,0.0621439068153073,-0.0178242563200639,-0.0113618451647159,-0.0144403072251714,-0.012202222212666,-0.0299007749068839,-0.0137367099069472,-0.0181765340575575,-0.0152814953985691,-0.0576732682134331,-0.0113618451647159,-0.0190981312762653,-0.0125022499908877,0.0573124111523748,0.0571080763037016,0.0582162584325831,0.057671332070105,-0.00173139239380604,-0.00242995807006536,-0.00422638535527526,-0.00320113221106199,-0.0282520824446453,-0.0209827089895577,-0.0251190521152391,-0.0224702468005301,-0.00711207525188606,-0.00906935589207398,-0.010784026694315,-0.0105927539486894
0.8,"none","none",0.2,-0.0227626356270115,-0.0133339121512252,-0.0150171503910785,-0.0147243303465393,-0.0328780221983724,-0.015353933598433,-0.0177824681732277,-0.0168147902244509,0.019495270816807,0.0273726142912949,0.0245009800446056,0.0260303895701025,-0.0309889582123333,-0.02312525220469,-0.0237034874682816,-0.0207092509685773,-0.0466806645590526,-0.0302516038669032,-0.0350485128715978,-0.0276186077309501,-0.0598901303604188,-0.02312525220469,-0.0242714301523846,-0.0207092509685773,0.010064538940714,0.0183536679640271,0.0162663097009165,0.0168069358747252,-0.00710653859900241,-0.00306565065744212,-0.00269883144889939,-0.00339147760353037,-0.0364882209388053,-0.026792601477367,-0.0266393868953542,-0.026983202400547,-0.0215254944199335,-0.0156292038411508,-0.0158055557685964,-0.0139232250135091
0,"none","none",0.4,0.0176310479182643,-0.000564825622183739,0.00139251911479616,0.00225281927306727,0.00833691145654979,0.000616792303306522,-0.000476895136256002,0.000821431328776853,0.496987820906031,0.473095470344145,0.473624666457211,0.473048047739858,-0.00691590658142432,-0.00365510524702293,-0.00271806325620802,-0.000893617493634328,-0.00662996456836247,-0.00738708111917753,-0.00197441487981243,-0.00193982033009329,-0.0406998020821134,-0.0267030634452825,-0.0298581270409135,-0.0269677561220112,0.487578294554849,0.467291987161558,0.469892992949306,0.467266782585603,-0.00498059235926016,0.00148269863333976,-0.000307361791106221,0.00167525697054757,-0.0342493749419329,-0.0313896600735729,-0.0325130413770226,-0.0289050672223897,-0.00362127108367036,0.00553890683935075,0.00736434209735772,0.00886747171560728
0.2,"none","none",0.4,0.036891950702308,-0.0041022495264016,-0.0119120574764254,-0.00730452325015915,0.0301246399106123,-0.00614977305853237,-0.0107457424706532,-0.008674937073658,0.375224657684696,0.360222882377294,0.359011671628024,0.361559080731539,0.00550860288226294,-0.00864909407983642,-0.00610580248907641,-0.0114312903835953,0.00771002950525581,-0.0114261763341162,-0.00549719394817311,-0.0140854629900204,-0.0373644150324136,-0.033659521643753,-0.0444221815164982,-0.045156015369394,0.368121926464338,0.352996351469747,0.352263852358425,0.356127821746151,0.00553582332766434,-0.000205054129511983,-0.000614459899104877,-0.00208791790598708,-0.0267603201038638,-0.0381572454336965,-0.0335140750746487,-0.0371768696233434,0.0100318743968423,0.0186091714407819,0.0181800864298719,0.018539091058768
0.5,"none","none",0.4,-0.00318695481916637,-0.0166391700726597,-0.00679075663338112,-0.0141676304634829,-0.0180746434255833,-0.030910102051481,-0.0239285121023438,-0.0269281521169456,0.226698986996587,0.220935085703449,0.219354038415025,0.222109383998839,-0.0190444300228633,-0.0329771437977993,-0.0286323838528039,-0.0285981218626097,-0.0358059461366822,-0.0418218409844656,-0.0391547216176476,-0.0388971320016753,-0.086825050303962,-0.0390275189831108,-0.0637769899945557,-0.0409474288805752,0.219226884604393,0.213308187069205,0.210174468931323,0.212733925776872,0.00273460015226925,-0.00352014938592215,-0.000220950213804309,-0.00215340632006317,-0.0328081738216663,-0.0552626608962084,-0.0408845837442278,-0.048261880665623,0.000655918229537299,-0.0388780710150015,-0.0254395209978478,-0.0356017808314977
0.8,"none","none",0.4,-0.0326654319684763,-0.0278187855291873,-0.0261332868112901,-0.0269660405364994,-0.0622614696711413,-0.0459515026025471,-0.0487474496467375,-0.0479806579052099,0.117442081243083,0.122000722437851,0.122747377615548,0.123096804674611,-0.042086235660833,-0.0435917519632684,-0.0454700015280733,-0.0469630657300891,-0.0717869490234765,-0.0564704554909767,-0.0639033494476994,-0.063150919297699,-0.107573019650795,-0.043802230535078,-0.0619354816490652,-0.0489825162669219,0.10770774358044,0.110784331112718,0.112143278395275,0.111275813404579,0.00350046553095774,-0.00290853597648632,-0.00238848112597319,-0.00264908965532706,-0.0397789249193024,-0.0687402957729559,-0.0520283800821035,-0.060572274909358,-0.0338529599537431,-0.0361049630665958,-0.0419726611355712,-0.0407823059558284
0,"med","none",0,-0.0124548957664857,-0.0166828193240043,-0.0156852354493256,-0.0160629792345479,-0.0171806506719408,-0.0220787193342332,-0.0217611283411303,-0.0223835443898496,0.148894159827259,0.0452875861965071,0.0898308418002747,0.0532710292098346,-0.016036049440102,-0.0107247211182538,-0.00825193084753424,-0.0110175215918285,-0.0542100716882213,-0.0282738565441684,-0.0297633812698671,-0.0299042206383925,-0.0575200872636293,-0.0286220808796568,-0.0308793642881134,-0.0307225673200857,0.145547129264766,0.0248059411278099,0.0880745423692429,0.0515503001360805,0.0234568251723162,0.0160947637624441,0.0206603576889678,0.0168149375016703,0.0049063875964287,0.00764195209890534,0.00880351821135435,0.00644664584224169,0.0168846537479971,0.0134561924419411,0.0168718179639799,0.0135628156779245
0.2,"med","none",0,-0.0528757328455701,-0.0479249124609487,-0.0490561908482119,-0.0500784597731993,-0.079146257557369,-0.0678439603675748,-0.0731818357096298,-0.0720262071518257,-0.0658198195938888,-0.100063790512845,-0.0948906128202435,-0.103264564216333,-0.0122993623385559,-0.0092496928815508,-0.00787585307826297,-0.00814314516613992,-0.0725867205701157,-0.0456341806281421,-0.0509955947178811,-0.0460946511089469,-0.0782475528499576,-0.0111701649493528,-0.0364360793805342,-0.0183567967954575,-0.0697036967534606,-0.0988577998919784,-0.0935237392392104,-0.101947212093776,0.0508607430585294,0.0393090174626849,0.043401179759936,0.0410068583130252,0.0234261453221546,0.0176005708420762,0.0214612753896971,0.0194645558797677,0.0395281202005184,0.00716721326407397,0.0280373777643496,0.0158124133480766
0.5,"med","none",0,-0.0622535953746849,-0.0308211057720918,-0.0395452739894951,-0.0335895963360397,-0.0686788334387369,-0.0333787588412469,-0.0624006023089429,-0.0366489848134101,-0.0917986530669995,-0.0587497289543537,0.216565089451654,-0.0608700369287178,-0.034063472423865,-0.0219386333306415,-0.0273892526262148,-0.0217490654937101,-0.117315752143966,-0.0645519537538996,-0.0828159060630209,-0.0676867482312941,-0.0860659050813262,-0.0219386333306415,-0.0299563075418357,-0.0217490654937101,-0.0931955301028725,-0.0626637604961794,-0.0683193422898964,-0.0644259887486755,0.0468350857155608,0.031906264595584,0.0367538883338023,0.0344012314185358,0.00880438458108666,0.00127633363383703,0.00219459397130848,0.00256275446898827,0.0141748124039208,0.00204234407321197,0.00147942797790746,0.00275765571688751
0.8,"med","none",0,-0.0371299798637331,-0.0170227402209204,-0.0180499993199796,-0.017872939186874,-0.0392607854911344,-0.0172894383103142,-0.0182597012979923,-0.0182343933475776,-0.0395586231003556,-0.00566030320807846,-0.0292054171868762,-0.00891225603279927,-0.0427722651314184,-0.0257698694779472,-0.026817942178148,-0.0252953443879578,-0.108360815572625,-0.0539372837844047,-0.0634534316441233,-0.0558934136197558,-0.0655201566405019,-0.0257698694779472,-0.026817942178148,-0.0252953443879578,-0.0486767502621126,-0.0353659189192816,-0.037030921121442,-0.0357976587078542,0.0248406156213454,0.0153400322253254,0.0203456867278919,0.0174332830393427,-0.00700028896598091,-0.00837168338156732,-0.00651723061230722,-0.00740567466549846,-0.00567719488865292,-0.00292082338924151,-0.000152330503603827,-0.00169651975838812
0,"med","none",0.2,-0.0454358669817463,-0.0709531085847403,-0.0649153071047763,-0.0665892446653865,-0.0618817969332175,-0.0951549998392959,-0.0799731434757471,-0.0887617084042907,0.213499114878481,0.110535513309075,0.146974746100459,0.121872386986433,-0.040399280277996,-0.027244987994945,-0.0219747619956647,-0.0181236365214362,-0.0954354147017182,-0.0515038507024849,-0.049578038377531,-0.0383795481502434,-0.107182792748909,-0.0568162473985866,-0.0600169963636641,-0.0465111992276384,0.200642516470598,0.11085076884257,0.139681512508212,0.122060068360194,0.0265026429606186,0.0244712200154655,0.0262080240810833,0.026859659092751,0.00185566578390737,0.00158235721496617,0.0018493244024021,0.00430129010226609,0.00509113278144533,0.00593163853758851,0.0107090115756384,0.0124749129069497
0.2,"med","none",0.2,-0.0925139974949814,-0.11191672259743,-0.10580322369524,-0.107188960599226,-0.110653809092541,-0.148241190246481,-0.137936845637521,-0.13969866630062,0.0562242268773946,0.0270470583265637,0.0222456946093233,0.0268040422410316,-0.0404095153696466,-0.0313235984270353,-0.036832040834022,-0.0335967102708039,-0.116330616768714,-0.066774891548399,-0.0878305093969761,-0.0739867253334671,-0.132000663799584,-0.0596339829601648,-0.0955426650851025,-0.0730686300864238,0.0539012955128077,0.023771268076197,0.0222400361652697,0.025884079534804,0.0536039148342229,0.044620418711624,0.0460862112077605,0.0446550652489957,0.0130356021053801,-0.0065245211129565,-0.000651516396580971,-0.00265890244671803,0.0261046617416476,0.0109933651179463,0.023019930420276,0.0187281919630658
0.5,"med","none",0.2,-0.112720090312213,-0.125803221501758,-0.119053494951153,-0.122355737696218,-0.132967374957383,-0.172314275091674,-0.161387903010922,-0.168484477360569,-0.0426778176111654,-0.0154281722042556,-0.0248385471385595,-0.0173191234617419,-0.0534767279846884,-0.0404795485945064,-0.0429716090871394,-0.0392153306889039,-0.140671782027624,-0.0833385008054528,-0.0993060068843558,-0.0829691450447871,-0.137163973028498,-0.0404795485945064,-0.060604574451565,-0.0407053914106352,-0.0457537828334994,-0.0262582482169909,-0.0319208185382351,-0.0279603784725902,0.0518417760642705,0.0469478243967686,0.0470208049568655,0.0453135176123324,-0.00601306895997773,-0.0301792380960545,-0.0202743454318985,-0.0267826569184891,0.00331374761463622,-0.0135340364339998,-0.0158566803731166,-0.0129725530214495
0.8,"med","none",0.2,-0.0727043241312112,-0.0665222778415678,-0.0787706126889327,-0.0679545159651011,-0.0802636356993622,-0.0697501011714985,-0.0824330495725144,-0.0726360137108829,-0.0265653119020643,-0.0176252737219106,-0.0271684035338854,-0.0182333018999777,-0.0494907576399193,-0.0334539210222369,-0.0421508904450538,-0.03761809776068,-0.1225914737545,-0.0629075568223472,-0.0816456953239541,-0.0718483667613388,-0.0949826692085066,-0.0334539210222369,-0.0435342077803965,-0.03761809776068,-0.0360460919521681,-0.0309693483726985,-0.039413892453803,-0.0309205751028522,0.0385959236361833,0.0305310195989152,0.0255822550327892,0.0301726559633026,-0.0139928325849091,-0.0422962891140871,-0.0351964773783058,-0.0389038977956475,-0.0140405956901956,-0.0104205846651225,-0.0181743817026494,-0.013327305664952
0,"med","none",0.4,-0.114458335691829,-0.130988766608469,-0.132489956150067,-0.128136971981081,-0.117092870964438,-0.146643712420716,-0.141674483696886,-0.141762839471683,0.347695121617821,0.329270245193334,0.341328630280179,0.3328374080457,-0.0730394114054738,-0.0489236650898255,-0.0573059628731086,-0.0384839654764806,-0.142628863269688,-0.0724022112213798,-0.0931107740561662,-0.0578367468711263,-0.166648235961777,-0.0860162755798006,-0.114474523557917,-0.080442224695284,0.344314910438621,0.320057565750217,0.313727678716413,0.324562223414716,0.0242301414098903,0.0297381049274728,0.0278595640863691,0.0295222390801933,-0.00955277466779298,-0.0328169341806241,-0.012850200851886,-0.0234387867225275,-0.00434531013778823,-0.00151472688376716,-0.00341968958890754,0.00669211307272338
0.2,"med","none",0.4,-0.170974236385063,-0.166640069695004,-0.162358745974984,-0.17052652762984,-0.183566447774917,-0.174071996075663,-0.172336766962458,-0.176147129755915,0.193882083427033,0.234897110959634,0.228784156958711,0.228989050452096,-0.104297352635288,-0.0733578371269824,-0.0729829688817897,-0.0721772376053035,-0.209335152229338,-0.109614203891384,-0.124639296704831,-0.113845139801303,-0.23227281808869,-0.123976479544955,-0.151834695097951,-0.134572886588909,0.189004097333238,0.220178242256664,0.216720487391583,0.215318833075987,0.0379958687118797,0.0376712339279398,0.0406626537222314,0.0390283431337263,-0.00971021780852771,-0.0659575856281512,-0.029374868939924,-0.0522783779082735,-0.00577752970329701,0.00435561156075341,0.0079536226197531,0.0091096127237182
0.5,"med","none",0.4,-0.193724271610487,-0.211037785650083,-0.198716574623295,-0.209977077001951,-0.201435803657968,-0.243153232081694,-0.236761242678623,-0.246586283963315,0.0987744434958591,0.125467850574193,0.117099099599393,0.114004563827387,-0.115163052157268,-0.0819609908456557,-0.0861539441423671,-0.0795379894971216,-0.222583906723621,-0.124616632609755,-0.145078955365881,-0.122115108490703,-0.249332509060818,-0.100182958957866,-0.151758628706586,-0.113801712115135,0.0901776055660252,0.105711117615155,0.101708611815884,0.0957582526203699,0.0353958348592751,0.0449391175047885,0.0431623375079576,0.0404136056303164,-0.0327121256943569,-0.0971371842062909,-0.0673384396708953,-0.0916718528245265,-0.0279342189766888,-0.0545595920637658,-0.0463504105602648,-0.0535375282603329
0.8,"med","none",0.4,-0.196353577978022,-0.211532085183708,-0.221160497319019,-0.209642803459531,-0.212255906931247,-0.266277365282842,-0.265328901181447,-0.255940852391919,0.0330703415167135,0.0491528714107885,0.0400532626078294,0.0509938638203534,-0.103717859902125,-0.0748602889163856,-0.0896192343550868,-0.0782124134822325,-0.193082400735054,-0.112368777950914,-0.146390673734693,-0.12068043691651,-0.205833455375942,-0.0754217813301197,-0.114090930675669,-0.0849886987361518,0.0175989587370446,0.0298087840773548,0.0197353061154346,0.0324599351470317,0.0335961158209741,0.0358692628630274,0.0326262830424308,0.036437464549363,-0.0426347874027952,-0.128651627242987,-0.0901049177662135,-0.116814092997022,-0.0581031713950595,-0.0514535380039019,-0.063644195227994,-0.0538147982223172
0,"high","none",0,-0.0329222727443837,-0.0315452646018004,-0.0325017615668167,-0.0316202584637538,-0.0411404301389149,-0.0385745840047849,-0.0424592198624988,-0.0397866111585596,0.119559044493783,0.0918718932385223,0.0575949017441314,0.0427647150253737,-0.0442330595894782,-0.0303326540421435,-0.0361336741424563,-0.0319089880130055,-0.120106628022112,-0.0622518474801503,-0.0835275337856072,-0.0679841876643588,-0.123826840345541,-0.0622745484163552,-0.0841492449210611,-0.0680543442910275,0.116853054079677,0.0137094829218328,0.0568810627467063,0.0285487121061116,0.0398925290729956,0.0289516086549643,0.0324788880721325,0.0291431785098707,0.0206478822087285,0.0155247899864438,0.0152662642760361,0.0150430696622237,0.0251688035223172,0.0208431286424781,0.0230367975754249,0.0209865289390122
0.2,"high","none",0,-0.0873414076658807,-0.0813763257583451,-0.0867256312750534,-0.0833348765216666,-0.108940451000264,-0.1249872728738,-0.120985159669738,-0.126823486889561,-0.0944571249295671,-0.0631352065239207,-0.0951879673924613,-0.128963565011612,-0.0370270810007906,-0.020926182798304,-0.0253989512967827,-0.0225537744118917,-0.14950701337303,-0.0826348898451607,-0.101960661641048,-0.0890680583878134,-0.149896857721106,-0.03388530939023,-0.0846495943426692,-0.0541901595097483,-0.0927251211836777,-0.127263543912504,-0.115702288884507,-0.126184382567275,0.0805111722678291,0.0658280013082649,0.0704911625114019,0.0678276422864114,0.0404560667932792,0.0290815967659248,0.0321614445835904,0.0303785821070873,0.0590928666651695,0.00963779482784295,0.0371562545379027,0.01934351218527
0.5,"high","none",0,-0.0783519040944287,-0.0444524371321863,-0.0593504413658989,-0.0465588565747457,-0.0791828755689453,-0.0469782821516357,-0.0624214704448847,-0.0497728800969055,-0.089799867961314,-0.0353845427241989,-0.089285953405614,-0.0567184201937618,-0.0450642829949802,-0.0318259918842995,-0.0387183754580418,-0.0321298626919296,-0.163450213740681,-0.0939530861803811,-0.120277164547007,-0.0986240004968695,-0.114581865544225,-0.0318259918842995,-0.0422215638211519,-0.0321298626919296,-0.112142481887076,-0.0830877300238624,-0.0926918888184509,-0.0806310074471965,0.0682705850965589,0.0451871913061091,0.0526617861186502,0.0479774926593024,0.0197575341533018,0.00354011265796432,0.00533051870904957,0.00505073506055498,0.0219568938367784,0.00145388324822891,0.000283332860797005,0.00235521374056006
0.8,"high","none",0,-0.0341065545663774,-0.0202491673352596,-0.0233153025978399,-0.0222650361579934,-0.0339569105368772,-0.0202033763425769,-0.0234638945481894,-0.0223145369754537,-0.0452403661293059,-0.0380088082899286,0.00227817246940343,-0.0379008721127829,-0.0466639062559425,-0.0307936168483839,-0.035826073315481,-0.0325050755884676,-0.129874842121053,-0.0673889524488902,-0.0859732941937673,-0.0735970695137885,-0.0669360778488407,-0.0307936168483839,-0.035826073315481,-0.0325050755884676,-0.0547124088691988,-0.046270126798081,-0.0468555663805163,-0.0464679485005879,0.0383180770789653,0.0205123512799268,0.0247406792118343,0.0218765018899235,-0.000594594240663197,-0.00854741996379391,-0.00862884786266516,-0.00970889693120684,-3.23136552830046e-05,-0.00213439201875243,-0.00277234182781529,-0.002385799899726
0,"high","none",0.2,-0.0766153290734555,-0.103846784191388,-0.096570712381468,-0.102718734760728,-0.0884302094215642,-0.131435857632683,-0.114923960924625,-0.129236139304116,0.171793114036719,0.08082940799645,0.104927013443705,0.110695298339704,-0.0661571987011088,-0.046677857183715,-0.0553250306898612,-0.0498901894201349,-0.155195981956252,-0.0843422110409255,-0.110010025357846,-0.0921407550689046,-0.163733366904784,-0.0885168863689408,-0.116493436775405,-0.0972905873519261,0.162117780710445,0.0728149636244531,0.105928296580216,0.0867340054261018,0.0476979907119194,0.0468516493601925,0.0445903801795817,0.0452140277512795,0.0194025876747579,0.0126906771178332,0.0118275133994684,0.01182433428701,0.0191992652130163,0.0139484095161025,0.0129215509333889,0.0138499414062077
0.2,"high","none",0.2,-0.147651856585902,-0.167831953435624,-0.159690371686274,-0.1662175167244,-0.157381521934583,-0.209486242354614,-0.191994467556649,-0.205340231279495,-0.00134021569228629,0.0709714069062839,-0.0148532890344622,-0.0225375442565376,-0.0797905221810871,-0.0533376022398049,-0.0607260779717437,-0.055702880669516,-0.204835716677886,-0.110389644809257,-0.139242743726938,-0.120283842202728,-0.214151865036017,-0.101416499832208,-0.143468805584883,-0.117723672180488,-0.00313827006454712,-0.0165419724079598,-0.0150668784407081,-0.0244269455877847,0.0762721067735218,0.0698908517070228,0.0718340402073039,0.0693529549570221,0.0211170059151548,-0.00168363248315449,0.00723079696192769,0.000865672661043228,0.0321338701942589,0.00799144897268165,0.0270818637081525,0.0187516167876225
0.5,"high","none",0.2,-0.164735718700859,-0.196469515395845,-0.186500688700037,-0.189824398400274,-0.174160603876972,-0.255878186521582,-0.220403519376287,-0.244762182182439,-0.0691004608847797,-0.00108823621707873,-0.0240974828712097,-0.0464971371797394,-0.0816239597577602,-0.0509142362864591,-0.0550703954348028,-0.048884985137592,-0.214884640587544,-0.109905589993244,-0.130351917395588,-0.111622456779179,-0.199612481153216,-0.051834653681112,-0.0782332867937359,-0.0533394054072493,-0.0872023774070504,-0.0553289484464309,-0.0591843414759253,-0.0571472135678226,0.071223594227732,0.066801946642562,0.0677056294240549,0.0680745274547491,-0.00440412423687319,-0.0252446690114559,-0.0197522114301761,-0.0228746386313321,0.00323318548696741,-0.0160632358633339,-0.0172152398381624,-0.0132142280197166
0.8,"high","none",0.2,-0.0871171976740314,-0.085386990196155,-0.0904289015157853,-0.0883741080452622,-0.0921362119581724,-0.0867573066602916,-0.0917354025738346,-0.0892313563023381,-0.0457553088517682,-0.0320181763419886,-0.0344610481603255,-0.0127659082276871,-0.0675450443810445,-0.0436655758136982,-0.0431019907562768,-0.045863569818027,-0.167484825855035,-0.0857786671012418,-0.0949162180355576,-0.0916654430790497,-0.124271501154405,-0.0436655758136982,-0.0437685361221403,-0.045863569818027,-0.0559808897931871,-0.0456306497557352,-0.0475986787716234,-0.0477394205427598,0.0487120743239586,0.0408907551089374,0.0430454565573508,0.0402831350782454,-0.012571379208924,-0.0470377473156281,-0.0291403421600444,-0.0419368270241054,-0.0171769662558044,-0.0142080113399227,-0.0103515754484814,-0.0159663708175994
0,"high","none",0.4,-0.168194645656022,-0.197105561722944,-0.188508503211978,-0.195284683786916,-0.156012346079233,-0.215541279945909,-0.197413330776131,-0.210034024372105,0.314455144894797,0.309549642283983,0.292550923943023,0.269825345508928,-0.10839205973268,-0.0883564479362507,-0.0979139413123199,-0.0854646935801542,-0.204021908810142,-0.128103886774419,-0.158428026968073,-0.126555406647497,-0.222045870637873,-0.138187708890682,-0.173327132467225,-0.141880625640035,0.302640564032444,0.264672602597458,0.273246105964123,0.263899652194791,0.0413905787319365,0.045998272434296,0.0461497418864333,0.0450243359814342,0.00420495518559502,-0.037980642521582,-0.00736446853819525,-0.0268176364124443,-0.00894830053444222,-0.0113639648662686,-0.00916523770510654,-0.00793531560446665
0.2,"high","none",0.4,-0.222624794645968,-0.243799888311538,-0.245289654071886,-0.241671988222024,-0.201757827236638,-0.238216942805964,-0.24364566258873,-0.23539868250748,0.180072246903201,0.196176495606383,0.213715257717873,0.24252704973858,-0.160225342215071,-0.101900414549048,-0.116757554889481,-0.0956909870643932,-0.321079012761323,-0.156546363565172,-0.200732031006925,-0.15219479125365,-0.338579906414563,-0.168503120561905,-0.220575183893387,-0.171781785732316,0.179123874563446,0.179066325539549,0.16148365400099,0.174596118432066,0.060419171930079,0.0602625480909715,0.0578379697729804,0.0621856223248525,-0.000297337584629004,-0.063948434912213,-0.0394494404764499,-0.056045423608612,-0.017119057237385,0.00621254726116879,-0.00384696628216079,0.0147153906788055
