"delta","qrpEnv","censor","tau","3PSM_10","3PSM_100","3PSM_30","3PSM_60","4PSM_10","4PSM_100","4PSM_30","4PSM_60","pcurve_10","pcurve_100","pcurve_30","pcurve_60","PEESE_10","PEESE_100","PEESE_30","PEESE_60","PET_10","PET_100","PET_30","PET_60","PETPEESE_10","PETPEESE_100","PETPEESE_30","PETPEESE_60","puniform_10","puniform_100","puniform_30","puniform_60","reMA_10","reMA_100","reMA_30","reMA_60","TF_10","TF_100","TF_30","TF_60","WAAP-WLS_10","WAAP-WLS_100","WAAP-WLS_30","WAAP-WLS_60"
0,"none","none",0,0.31553104681938,0.0239052369015209,0.0470357058533878,0.0313205170388989,0.257252420923123,0.0329635077131748,0.0714003655217431,0.0456374141796213,0.481786158248557,0.381043697524596,0.448102999082467,0.353635601164525,0.120563202252806,0.0278783030422918,0.0550402519487192,0.037159977095024,0.224005356209488,0.0431165495115941,0.0921901285429629,0.0586510165476036,0.206878603107312,0.0402296856617421,0.0830635247252508,0.0526900996683047,0.456151649023378,0.364610637913086,0.427295147703358,0.337138394375977,0.0717055459014534,0.0210650898238881,0.0396857380116078,0.0269192693589279,0.0775373338838374,0.0228262849528528,0.0416911231026895,0.0288746728102489,0.0701201680688878,0.0208821873383687,0.03886200168429,0.0266615057056466
0.2,"none","none",0,0.207893115621448,0.0286408054661631,0.0560036917690407,0.0365780950996769,0.252299593795537,0.0347084741087074,0.0688075912129669,0.0442151944178033,0.233650687130334,0.0867212939253229,0.15322114261507,0.113058642110479,0.119137375668677,0.0279496615101418,0.0553678621951471,0.0355266039597002,0.217806289526195,0.0433164153810704,0.0920312936481219,0.0569539165497867,0.187768753247052,0.0286216120939694,0.0747907707892479,0.0449478523378052,0.219843878277599,0.0840465709590819,0.149785830695223,0.108739648837909,0.0742555117573866,0.0213782373473173,0.0397055421435926,0.02636200854039,0.0786716531350448,0.0236572758207898,0.0424802550394762,0.0291398008161722,0.0712767175909122,0.0292144182879587,0.0396212621508374,0.0287209557549489
0.5,"none","none",0,0.101413964810005,0.0271599355046994,0.0504254862164408,0.034337275836664,0.122132454193377,0.0278343722070814,0.0552547908616304,0.0356465619574394,0.171200840088075,0.0403768522348256,0.080916025861962,0.0509552018554089,0.119782810122642,0.029891198524802,0.0569902628551964,0.0377565586328857,0.220411973405215,0.0447228790694401,0.0932825319453711,0.0581339126513035,0.174974501513039,0.029891198524802,0.0589443096196037,0.0377565586328857,0.164555805037829,0.0390963343071305,0.0789667409722844,0.0500209784213147,0.0731620120170917,0.0222492949921406,0.0401341999116098,0.027093955406507,0.0784752622690844,0.02560705775519,0.0456082270409012,0.0319911556676739,0.0785318923896356,0.0295940468037716,0.0559961609423314,0.0375948337377215
0.8,"none","none",0,0.095119980033871,0.0250007305522592,0.0457576596789572,0.0323578864365787,0.0962900925905634,0.0252563904236329,0.0458883836586349,0.032767029848453,0.116811235453038,0.0310929104072082,0.0578798615472229,0.0413883403355269,0.120464506398547,0.0327472698602218,0.0583797712902742,0.0411141238220447,0.218830236623983,0.0495629969350713,0.0970080487745374,0.06390550306941,0.163333514629331,0.0327472698602218,0.0603295926833462,0.0411141238220447,0.113156848772724,0.0307749284637755,0.0567062252013056,0.0405419665938552,0.0747912880846746,0.0223922168505598,0.0395590560778252,0.0286197208407297,0.080814848085859,0.0259107263333238,0.0457613176388427,0.0334763644902775,0.0840017066597772,0.0245121042718132,0.0445366079707569,0.0310285555473392
0,"none","none",0.2,0.197772049672191,0.0429597304180145,0.0856181600929287,0.057104215913452,0.269947062911725,0.067847863412222,0.130901748463993,0.0923544113637114,0.416442031016266,0.30932292452843,0.374602671555939,0.314876342232289,0.191820675328445,0.0663147629933204,0.109738529577841,0.0813175941432321,0.324018577704502,0.10731000147913,0.176350511850838,0.128958467414156,0.291756187155977,0.0927316095006761,0.158139766983347,0.111007116236844,0.406876503576087,0.304583961046033,0.366094552996809,0.309532769387317,0.105370432922327,0.0327572295885516,0.0595338166869705,0.0439569073656082,0.117670068625496,0.043060735671365,0.0727424532552281,0.0531502365089649,0.117332749620972,0.0442982729191855,0.0732652030477256,0.0562813781516069
0.2,"none","none",0.2,0.195898042510237,0.0479858304819657,0.0886024920674462,0.0604683685624207,0.252091453014642,0.0663030061184915,0.12107436183831,0.0853031558451738,0.335635209098039,0.18517466224962,0.230992668059039,0.194736620563195,0.191118302687275,0.0641292615630041,0.112159877716117,0.0810207123794009,0.322203369199991,0.102609472564539,0.179672316699943,0.130082310886987,0.278660843410269,0.085132864379477,0.152408861021038,0.108826097426757,0.326072353567137,0.181116750249227,0.224316307250221,0.190381051385024,0.109243835496894,0.0323951430012443,0.0604720701079631,0.0410368888585262,0.118449878532706,0.0455224319822823,0.0743596456754578,0.0514657937378259,0.123818040655293,0.0819380892769525,0.0886914191057554,0.0825110206981073
0.5,"none","none",0.2,0.161086135664851,0.0468268035568195,0.0873801606840158,0.0611199941367589,0.204327604265434,0.0572747825934878,0.120133521035501,0.0744911050310623,0.213584562239532,0.0920568824770499,0.13142177820052,0.102138608844691,0.193009884114085,0.0688140573191007,0.115029902751473,0.0822926990307326,0.325551717790994,0.109224992582288,0.183501870936908,0.13102690172305,0.277696365070018,0.0688140573191007,0.144043534392378,0.0861644438814762,0.206050640745471,0.0862016491865074,0.124707321235631,0.097399613711134,0.108870162900133,0.032603749877571,0.0604150591279819,0.0432140918859345,0.120036024037483,0.0489212356104226,0.0776927450944274,0.0591405341342127,0.138891722416848,0.0742107938791811,0.1198056359863,0.0913664135887374
0.8,"none","none",0.2,0.150019408050545,0.0447708476639015,0.078434823185829,0.054480609766963,0.173298532423097,0.046888277691233,0.0859850944411813,0.0581777646807752,0.153834730956599,0.0545915615241066,0.0855871231852914,0.0649875106960495,0.190452870572618,0.068828338708671,0.111990995901223,0.0834825138121724,0.327170225930008,0.10762736296638,0.180824769899735,0.134381744761096,0.279758080099573,0.068828338708671,0.114700779753776,0.0834825138121724,0.147093752849144,0.0490328537124556,0.0791176736336267,0.0598140186960308,0.112594000680298,0.034242960622039,0.0625627955885947,0.0424510390696494,0.126885548699641,0.0545408442179229,0.0771477279644779,0.059854151013533,0.144023427327827,0.0538126936934883,0.0907945156274117,0.065466313172497
0,"none","none",0.4,0.251661762702455,0.071061168474003,0.142247339799053,0.0930881075154044,0.377024639066461,0.105490994611058,0.206272188870251,0.135728237671455,0.606112162593424,0.511724550427236,0.550105105400493,0.524739231664367,0.304784215077765,0.111023769481654,0.19684731068931,0.149339760474227,0.507084914825359,0.180223901827551,0.31706053489469,0.239679758103642,0.436306383569147,0.154837716996786,0.276995231540919,0.199218292974387,0.596508734420304,0.504953862910411,0.543067146540521,0.519575608593938,0.158371328057147,0.0484174372499409,0.0902111602599771,0.0604836329716368,0.171617347923954,0.0762832186078962,0.107701597735604,0.0848118686562416,0.203440942099449,0.0782775187639866,0.137139645577719,0.115235160181208
0.2,"none","none",0.4,0.443158656477189,0.0802298934391774,0.136940456507932,0.0985173184847976,0.362020335749434,0.105678452447973,0.19602619310864,0.133844323991858,0.481460150274743,0.393298793753985,0.404770170303447,0.393573723712407,0.310439761712109,0.116764968093916,0.187461617983988,0.145598811759076,0.511337664420577,0.188456319305417,0.294388518097056,0.23251908563335,0.443029372644935,0.165926460166906,0.256913860966561,0.196463485169786,0.472151593350866,0.385030398227799,0.396808406183813,0.385824520062529,0.154202261829533,0.0499450030762582,0.0932108219108446,0.0638503062718421,0.16925405509384,0.0856550560586075,0.116835679368068,0.0874256887589427,0.208741954373338,0.140057761374739,0.161749510400654,0.15446973395566
