"delta","qrpEnv","censor","tau","3PSM_10","3PSM_100","3PSM_30","3PSM_60","4PSM_10","4PSM_100","4PSM_30","4PSM_60","pcurve_10","pcurve_100","pcurve_30","pcurve_60","PEESE_10","PEESE_100","PEESE_30","PEESE_60","PET_10","PET_100","PET_30","PET_60","PETPEESE_10","PETPEESE_100","PETPEESE_30","PETPEESE_60","puniform_10","puniform_100","puniform_30","puniform_60","reMA_10","reMA_100","reMA_30","reMA_60","TF_10","TF_100","TF_30","TF_60","WAAP-WLS_10","WAAP-WLS_100","WAAP-WLS_30","WAAP-WLS_60"
0,"none","none",0,0.942483660130719,0.94585635359116,0.948096885813149,0.948660714285714,0.910750507099391,0.944504896626768,0.926879505664264,0.924050632911392,NA,NA,NA,NA,0.95,0.955,0.949,0.939,0.949,0.953,0.952,0.933,0.951,0.953,0.96,0.943,0.938775510204082,0.920502092050209,0.945578231292517,0.973262032085562,0.967,0.956,0.963,0.954,0.957788944723618,0.938008130081301,0.957862281603289,0.940876656472987,0.956,0.95,0.957,0.946
0.2,"none","none",0,0.925847457627119,0.948745910577972,0.947799385875128,0.94421052631579,0.911943319838057,0.938730853391685,0.941538461538462,0.950474183350896,NA,NA,NA,NA,0.966,0.941,0.944,0.959,0.961,0.944,0.952,0.949,0.966,0.94,0.948,0.952,0.967567567567568,0.968253968253968,0.966789667896679,0.971878515185602,0.963,0.957,0.96,0.962,0.954682779456193,0.932098765432099,0.947368421052632,0.95112016293279,0.963,0.943,0.961,0.966
0.5,"none","none",0,0.925252525252525,0.948936170212766,0.961894953656025,0.940376569037657,0.843434343434343,0.941427050053248,0.928939237899073,0.954022988505747,NA,NA,NA,NA,0.948,0.935,0.949,0.947,0.944,0.945,0.953,0.95,0.947,0.935,0.95,0.947,0.957247132429614,0.941,0.953,0.952,0.966,0.945,0.959,0.957,0.959555106167846,0.911405295315682,0.937371663244353,0.936991869918699,0.94,0.944,0.952,0.958
0.8,"none","none",0,0.934541792547835,0.959531416400426,0.954779033915725,0.947150259067358,0.862034239677744,0.918976545842217,0.906474820143885,0.911917098445596,NA,NA,NA,NA,0.951,0.912,0.948,0.934,0.95,0.919,0.948,0.921,0.954,0.912,0.947,0.934,0.953953953953954,0.945,0.954,0.942,0.96,0.944,0.964,0.96,0.942190669371197,0.911885245901639,0.937627811860941,0.919305413687436,0.956,0.943,0.961,0.951
0,"none","none",0.2,0.894553881807648,0.936,0.924819773429454,0.934804413239719,0.827760891590679,0.923,0.885196374622356,0.900702106318957,NA,NA,NA,NA,0.843,0.743,0.795,0.755,0.851,0.703,0.785,0.749,0.848,0.731,0.796,0.752,0.76566757493188,0.618346545866365,0.737388724035608,0.7175,0.913,0.941,0.937,0.937,0.882946518668012,0.882765531062124,0.884146341463415,0.888665997993982,0.878,0.805,0.86,0.808
0.2,"none","none",0.2,0.868530020703934,0.946,0.906906906906907,0.931795386158475,0.827098078867543,0.936936936936937,0.916833667334669,0.929789368104313,NA,NA,NA,NA,0.853,0.748,0.793,0.772,0.858,0.729,0.791,0.756,0.858,0.742,0.796,0.762,0.786974219810041,0.495991983967936,0.802337938363443,0.661257606490872,0.923,0.945,0.939,0.948,0.895266868076536,0.855711422845691,0.888775510204082,0.891566265060241,0.908,0.858,0.874,0.883
0.5,"none","none",0.2,0.85383064516129,0.949,0.927710843373494,0.941,0.753272910372608,0.952,0.904522613065327,0.948,NA,NA,NA,NA,0.859,0.736,0.787,0.768,0.866,0.696,0.783,0.744,0.86,0.736,0.777,0.768,0.895169578622816,0.666,0.845845845845846,0.778,0.905,0.945,0.932,0.944,0.88169868554095,0.828828828828829,0.870275791624106,0.872855701311806,0.915,0.874,0.909,0.916
0.8,"none","none",0.2,0.880761523046092,0.941,0.928786359077232,0.954909819639279,0.726452905811623,0.903,0.837512537612839,0.916833667334669,NA,NA,NA,NA,0.861,0.728,0.79,0.757,0.867,0.715,0.779,0.743,0.864,0.728,0.79,0.757,0.912912912912913,0.879,0.915,0.896,0.912,0.941,0.935,0.952,0.876267748478702,0.792964824120603,0.891260162601626,0.853090172239108,0.923,0.847,0.884,0.879
0,"none","none",0.4,0.883919062832801,0.94,0.923771313941825,0.936,0.827794561933535,0.934,0.912,0.941,NA,NA,NA,NA,0.803,0.706,0.716,0.685,0.818,0.669,0.71,0.654,0.82,0.677,0.719,0.677,0.562952243125905,0.0831663326653307,0.429184549356223,0.214574898785425,0.914,0.948,0.941,0.954,0.893574297188755,0.808,0.906906906906907,0.869,0.861,0.761,0.807,0.76
0.2,"none","none",0.4,0.8646998982706,0.929,0.918,0.938,0.842527582748245,0.933,0.907,0.942,NA,NA,NA,NA,0.816,0.666,0.723,0.703,0.825,0.632,0.718,0.672,0.826,0.644,0.729,0.688,0.605882352941176,0.026,0.403472931562819,0.145,0.92,0.948,0.921,0.947,0.903,0.763,0.866866866866867,0.862,0.885,0.822,0.836,0.833
0.5,"none","none",0.4,0.880641925777332,0.931,0.927,0.934,0.808617234468938,0.961,0.93,0.954,NA,NA,NA,NA,0.79,0.634,0.717,0.685,0.794,0.614,0.701,0.676,0.786,0.634,0.714,0.681,0.703172978505629,0.076,0.476,0.205,0.906,0.939,0.942,0.949,0.878391959798995,0.686,0.863,0.814,0.867,0.908,0.869,0.908
0.8,"none","none",0.4,0.888,0.946,0.947,0.95,0.733,0.974,0.909,0.957,NA,NA,NA,NA,0.801,0.626,0.718,0.655,0.821,0.627,0.704,0.637,0.816,0.626,0.717,0.655,0.821464393179539,0.364364364364364,0.689,0.538,0.897,0.947,0.946,0.95,0.872489959839357,0.633,0.88,0.773,0.888,0.807,0.894,0.843
