"delta","qrpEnv","censor","tau","3PSM_10","3PSM_100","3PSM_30","3PSM_60","4PSM_10","4PSM_100","4PSM_30","4PSM_60","pcurve_10","pcurve_100","pcurve_30","pcurve_60","PEESE_10","PEESE_100","PEESE_30","PEESE_60","PET_10","PET_100","PET_30","PET_60","PETPEESE_10","PETPEESE_100","PETPEESE_30","PETPEESE_60","puniform_10","puniform_100","puniform_30","puniform_60","reMA_10","reMA_100","reMA_30","reMA_60","TF_10","TF_100","TF_30","TF_60","WAAP-WLS_10","WAAP-WLS_100","WAAP-WLS_30","WAAP-WLS_60"
0,"none","none",0,0.0300653594771242,0.0232044198895028,0.0219146482122261,0.0290178571428571,0.0324543610547667,0.0304678998911861,0.0350154479917611,0.0316455696202532,0.0523809523809524,0.0559210526315789,0.0570902394106814,0.03515625,0.05,0.045,0.051,0.061,0.051,0.047,0.048,0.067,0.049,0.047,0.04,0.057,0.0102040816326531,0.0502092050209205,0.0204081632653061,0.0160427807486631,0.033,0.044,0.037,0.046,0.0422110552763819,0.0619918699186992,0.0421377183967112,0.0591233435270133,0.044,0.05,0.043,0.054
0.2,"none","none",0,0.496822033898305,0.996728462377317,0.908904810644831,0.992631578947368,0.411943319838057,0.989059080962801,0.753846153846154,0.936775553213909,0.231055900621118,0.716,0.390562248995984,0.534,0.446,1,0.907,0.996,0.216,0.988,0.627,0.885,0.317,0.996,0.722,0.925,0.127697841726619,0.524867724867725,0.244471744471744,0.359955005624297,0.725,1,0.999,1,0.658610271903323,1,0.989878542510121,1,0.699,0.834,0.965,0.92
0.5,"none","none",0,0.936363636363636,0.998936170212766,0.996910401647786,0.998953974895398,0.94040404040404,0.996805111821086,0.988671472708548,1,0.831831831831832,1,0.993,1,0.915,1,1,1,0.665,1,0.984,1,0.767,1,0.995,1,0.647609147609148,1,0.945,0.999,0.999,1,1,1,0.997977755308392,1,1,1,0.828,1,0.935,0.995
0.8,"none","none",0,0.979859013091641,1,0.998972250770812,1,0.995971802618328,1,1,1,0.997,1,1,1,0.988,1,1,1,0.866,1,0.999,1,0.922,1,0.999,1,0.939,1,1,1,1,1,1,1,1,1,1,1,0.944,1,1,1
0,"none","none",0.2,0.0312862108922364,0.01,0.0133882595262616,0.0150451354062187,0.0536980749746707,0.014,0.0251762336354481,0.0180541624874624,0.264150943396226,0.564,0.328392246294185,0.412360688956434,0.157,0.257,0.205,0.245,0.149,0.297,0.215,0.251,0.152,0.269,0.204,0.248,0.0597826086956522,0.377123442808607,0.176296296296296,0.257783312577833,0.087,0.059,0.063,0.063,0.117053481331988,0.117234468937876,0.115853658536585,0.111334002006018,0.122,0.195,0.14,0.192
0.2,"none","none",0.2,0.279503105590062,0.996,0.641641641641642,0.937813440320963,0.294236602628918,0.831831831831832,0.37875751503006,0.627883650952859,0.484464902186421,0.975,0.702702702702703,0.894,0.322,0.967,0.663,0.896,0.212,0.769,0.423,0.621,0.255,0.815,0.505,0.703,0.272727272727273,0.903807615230461,0.450106157112527,0.71225937183384,0.518,1,0.899,0.996,0.451158106747231,0.992985971943888,0.8,0.964859437751004,0.481,0.755,0.799,0.861
0.5,"none","none",0.2,0.862903225806452,1,1,1,0.819738167170191,0.999,0.921608040201005,0.993,0.863590772316951,1,0.999,1,0.795,1,0.994,1,0.471,1,0.877,0.992,0.578,1,0.91,0.994,0.654713114754098,1,0.972972972972973,1,0.984,1,1,1,0.969666329625885,1,1,1,0.738,0.997,0.795,0.964
0.8,"none","none",0.2,0.961923847695391,1,1,1,0.981963927855711,1,0.996990972918756,1,0.99,1,1,1,0.956,1,1,1,0.706,1,0.993,1,0.795,1,0.997,1,0.947947947947948,1,1,1,1,1,1,1,0.998985801217039,1,1,1,0.887,1,1,1
0,"none","none",0.4,0.0340788072417465,0.012,0.0120361083249749,0.013,0.0563947633434038,0.017,0.016,0.012,0.538167938931298,0.991,0.782828282828283,0.925,0.197,0.294,0.284,0.315,0.182,0.331,0.29,0.346,0.18,0.323,0.281,0.323,0.232995658465991,0.915831663326653,0.543039319872476,0.77834008097166,0.086,0.052,0.059,0.046,0.106425702811245,0.192,0.0930930930930931,0.131,0.139,0.239,0.193,0.24
0.2,"none","none",0.4,0.133265513733469,0.74,0.231,0.522,0.163490471414243,0.416,0.19,0.308,0.685897435897436,1,0.927,0.998,0.266,0.728,0.432,0.623,0.218,0.544,0.313,0.467,0.255,0.604,0.375,0.525,0.440281030444965,0.996,0.773700305810398,0.953,0.276,0.988,0.604,0.885,0.232,0.773,0.467467467467467,0.696,0.27,0.679,0.49,0.638
